model_seed,method,source_index,scale,nominal_change,functional_change,prediction_preserved
2,r0_mlp,1671,0.1,0.005113357678055763,6.640696170734373e-08,1
2,r0_mlp,3885,0.1,0.00469620618969202,3.517403257546903e-08,1
2,r0_mlp,3768,0.1,0.004458872135728598,4.218542315470586e-08,1
2,r0_mlp,4069,0.1,0.005814530421048403,2.4554724475933654e-08,1
2,r0_mlp,9482,0.1,0.006136603187769651,1.9335566037170793e-07,1
2,r0_mlp,1037,0.1,0.004814619664102793,2.4218076433157876e-08,1
2,r0_mlp,9099,0.1,0.007727607153356075,1.933554472088872e-07,1
2,r0_mlp,1129,0.1,0.009109143167734146,1.544461980529377e-07,1
2,r0_mlp,2066,0.1,0.006339706480503082,1.1591894377716017e-07,1
2,r0_mlp,8225,0.1,0.00883261114358902,2.419023132915754e-07,1
2,r0_mlp,5603,0.1,0.008455971255898476,1.375123730440464e-07,1
2,r0_mlp,755,0.1,0.010563666000962257,4.349128062131058e-07,1
2,r0_mlp,9587,0.1,0.00716532114893198,4.285654853219967e-08,1
2,r0_mlp,9193,0.1,0.007082964293658733,1.970828833464111e-07,1
2,r0_mlp,7416,0.1,0.005990180186927319,5.612871234461636e-08,1
2,r0_mlp,468,0.1,0.0062577915377914906,1.1331482596688147e-07,1
2,r0_mlp,5679,0.1,0.009786470793187618,1.1501000329872113e-07,1
2,r0_mlp,2267,0.1,0.005270815920084715,7.093623111131819e-08,1
2,r0_mlp,848,0.1,0.0037767537869513035,1.5831009392286433e-08,1
2,r0_mlp,6745,0.1,0.00499490462243557,7.150102021569182e-08,1
2,r0_mlp,589,0.1,0.008382006548345089,5.852025424246676e-07,1
2,r0_mlp,8926,0.1,0.007851886563003063,7.681030922412901e-08,1
2,r0_mlp,800,0.1,0.0059058391489088535,4.114823681788948e-08,1
2,r0_mlp,5369,0.1,0.003832863410934806,2.4948290544557494e-08,1
2,r0_mlp,6049,0.1,0.010644971393048763,1.7869115254143253e-06,1
2,r0_mlp,3221,0.1,0.0054981098510324955,1.3841554391547106e-07,1
2,r0_mlp,3570,0.1,0.005367936100810766,8.139723206568306e-08,1
2,r0_mlp,1289,0.1,0.007663001772016287,1.0247447335132165e-07,1
2,r0_mlp,6104,0.1,0.008942881599068642,1.3139595012034988e-07,1
2,r0_mlp,9524,0.1,0.007951687090098858,3.437033910813625e-07,1
2,r0_mlp,2459,0.1,0.008328956551849842,2.591812631180801e-07,1
2,r0_mlp,6316,0.1,0.005592155735939741,4.894946314948356e-08,1
2,r0_mlp,1698,0.1,0.007379514165222645,8.017177606234327e-07,1
2,r0_mlp,8423,0.1,0.010132848285138607,7.303458460228285e-07,1
2,r0_mlp,5081,0.1,0.002142861019819975,1.4375585166703786e-08,1
2,r0_mlp,2384,0.1,0.00532142398878932,1.3377854202190065e-07,1
2,r0_mlp,145,0.1,0.006150056608021259,1.1260283372394042e-07,1
2,r0_mlp,7446,0.1,0.00277867098338902,2.451522007618223e-08,1
2,r0_mlp,9810,0.1,0.004801473114639521,2.432294365917187e-08,1
2,r0_mlp,8778,0.1,0.0037032158579677343,4.065936565211814e-08,1
2,r0_mlp,2497,0.1,0.0022601583041250706,1.811183381050796e-08,1
