model_seed,metric,angle_a,angle_b,factor_gap,category,distance
0,centroid_plus_log_euclidean,30.0,75.0,45.0,mid,1.5980110885805445
0,centroid_plus_log_euclidean,45.0,60.0,15.0,near,0.6329948449635455
0,centroid_plus_log_euclidean,45.0,75.0,30.0,near,1.0177890757473405
0,centroid_plus_log_euclidean,60.0,75.0,15.0,near,0.5153278241169359
1,centroid,-75.0,-60.0,15.0,near,0.20375691245309596
1,centroid,-75.0,-45.0,30.0,near,0.4310894116639293
1,centroid,-75.0,-30.0,45.0,mid,0.6587303798356902
1,centroid,-75.0,-15.0,60.0,mid,0.8061543254735655
1,centroid,-75.0,0.0,75.0,mid,0.883893413273619
1,centroid,-75.0,15.0,90.0,far,0.9133138076771254
1,centroid,-75.0,30.0,105.0,far,0.8968508541169952
1,centroid,-75.0,45.0,120.0,far,0.7949418825764908
1,centroid,-75.0,60.0,135.0,far,0.6407667525555498
1,centroid,-75.0,75.0,150.0,far,0.4593392859350768
1,centroid,-60.0,-45.0,15.0,near,0.24453447498320813
1,centroid,-60.0,-30.0,30.0,near,0.5021237810177276
1,centroid,-60.0,-15.0,45.0,mid,0.691181341718014
1,centroid,-60.0,0.0,60.0,mid,0.8098010611490124
1,centroid,-60.0,15.0,75.0,mid,0.876007320414917
1,centroid,-60.0,30.0,90.0,far,0.9066487923713784
1,centroid,-60.0,45.0,105.0,far,0.8701931052792387
1,centroid,-60.0,60.0,120.0,far,0.7692695768958744
1,centroid,-60.0,75.0,135.0,far,0.6153366326941828
1,centroid,-45.0,-30.0,15.0,near,0.27830286464871484
1,centroid,-45.0,-15.0,30.0,near,0.5039594270054784
1,centroid,-45.0,0.0,45.0,mid,0.6653105712998811
1,centroid,-45.0,15.0,60.0,mid,0.7685967224227819
1,centroid,-45.0,30.0,75.0,mid,0.8495287500387322
1,centroid,-45.0,45.0,90.0,far,0.8898040491082732
1,centroid,-45.0,60.0,105.0,far,0.8613302041236319
1,centroid,-45.0,75.0,120.0,far,0.753858779907676
1,centroid,-30.0,-15.0,15.0,near,0.25021550125475467
