model_seed,method,scale,nominal_csr,nominal_csr_ci_low,nominal_csr_ci_high,functional_csr,functional_csr_ci_low,functional_csr_ci_high,dmr,dmr_ci_low,dmr_ci_high,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high,mean_true_class_log_prob_change
3,r3_hybrid_energy,0.0,0.9999998959456144,0.0,0.9999998959456144,0.9999999911271776,0.9999999792197776,1.0000000043038593,0.9140559306762012,0.8589675667817198,0.9682168957004461,1.0,1.0,1.0,0.0
3,r3_hybrid_energy,0.25,1.0166037885113286,0.9511999638885593,1.0935941782687948,1.0956687357618797,0.9993713398701676,1.2021119711108676,0.9140559306762012,0.8589675667817198,0.9682168957004461,0.9905660377358491,0.9716981132075472,1.0,-0.0014562673585594825
3,r3_hybrid_energy,0.5,1.0782513436605783,0.9936173506819067,1.174884122895742,1.1729990739977763,1.0591044062768253,1.292991209155423,0.9140559306762012,0.8589675667817198,0.9682168957004461,0.9622641509433962,0.9245283018867925,0.9905660377358491,-0.005347209789280621
4,r0_mlp,-0.5,0.302047471212419,0.2644871773916337,0.3449437245608526,0.07232944440240446,0.03970840023680468,0.11169597563717308,0.21289178282125862,0.19164212779440395,0.23536808364049427,1.0,1.0,1.0,0.00040261052056865873
4,r0_mlp,-0.25,0.23681601009462946,0.20832748316448169,0.26933205654799003,0.0002792347862259664,3.981567112697287e-05,0.0006903440599486636,0.21289178282125862,0.19164212779440395,0.23536808364049427,1.0,1.0,1.0,6.279904606207362e-05
4,r0_mlp,0.0,1.0000000496794619,1.0000000327226612,1.0000000670496496,1.0000000026025244,0.9999999921813386,1.000000012925391,0.21289178282125862,0.19164212779440395,0.23536808364049427,1.0,1.0,1.0,5.974522176778541e-10
4,r0_mlp,0.25,0.24893559912501106,0.22764511405876542,0.2710391298658286,7.000330031407734e-05,3.506671360025275e-05,0.00011552548084168936,0.21289178282125862,0.19164212779440395,0.23536808364049427,1.0,1.0,1.0,0.00034894483199097076
4,r0_mlp,0.5,0.3247555639282447,0.29833513553458446,0.3513932191966643,0.0426954601645819,0.024799918454988627,0.06223192824776218,0.21289178282125862,0.19164212779440395,0.23536808364049427,1.0,1.0,1.0,0.001011917806880654
4,r1_linear,-0.5,2.141039455131799,2.0537815111294346,2.2376268342710537,5.1001807203805924,4.494154101221823,5.8589334822477745,2.1020231965427127,2.021927186892519,2.1869053924601656,1.0,1.0,1.0,0.0031954670184344614
4,r1_linear,-0.25,2.138884547290094,2.0505466509641117,2.2348574492553803,30.0583982615672,22.010834911985135,44.011602120314485,2.1020231965427127,2.021927186892519,2.1869053924601656,1.0,1.0,1.0,0.0018349634483456612
4,r1_linear,0.0,1.0000000567687413,1.0000000354226002,1.0000000768744561,1.0000000016220343,0.9999999911313021,1.0000000129606583,2.1020231965427127,2.021927186892519,2.1869053924601656,1.0,1.0,1.0,-8.012888566502985e-09
4,r1_linear,0.25,2.0332268774526105,1.9586714807763272,2.1068257265612225,37.45571194446861,28.29385351508468,52.56729608771526,2.1020231965427127,2.021927186892519,2.1869053924601656,0.9905660377358491,0.9716981132075472,1.0,-0.001984143594525895
4,r1_linear,0.5,1.9488449292931311,1.8823246551851731,2.021558403503364,4.075073974843689,3.683681540222794,4.580955115040907,2.1020231965427127,2.021927186892519,2.1869053924601656,0.9811320754716981,0.9528301886792453,1.0,-0.003701455012526152
4,r2_prototype_energy,-0.5,0.47781815556048834,0.4180472213103423,0.5452026096815005,0.45855566712543344,0.38202470004030603,0.5414646440385436,0.29872130039848244,0.26390335145702426,0.33916562102105746,0.9905660377358491,0.9716981132075472,1.0,-0.004219609787160496
4,r2_prototype_energy,-0.25,0.3756304180530294,0.3238788476479675,0.43440703839462796,0.3196029226616613,0.2565746097906747,0.39474888187535145,0.29872130039848244,0.26390335145702426,0.33916562102105746,1.0,1.0,1.0,-0.0016909847563167787
4,r2_prototype_energy,0.0,0.9999999815138424,0.9999999428125648,1.000000024896389,1.0000000015638395,0.9999999899712061,1.000000013038828,0.29872130039848244,0.26390335145702426,0.33916562102105746,1.0,1.0,1.0,6.466541650160304e-09
