model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.003126027497809642,0.0008716021549441741,0.005392721368828604,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,-0.01405364128940118,-0.02446500582837434,-0.0031675318361994915,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.0073607783527321865,0.0037895633630622588,0.01101712028085206,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,0.0014408420186783522,-0.0042548785232581175,0.007022880125341101,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,-0.0014685128120396017,-0.0035513585017223795,0.0007153261644102747,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.008443334229455155,-0.016856122608114327,9.041283667205934e-05,640
3,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,-2.7069860260317372e-05,-0.0033033588745891673,0.0033508468715547648,640
4,r1_linear_vs_r0_mlp,trained,nominal,rho,0.055708038157068,0.03792000172645491,0.0740726214971155,640
4,r1_linear_vs_r0_mlp,trained,nominal,stress,-0.058353808920860284,-0.06609673973721443,-0.0504927214477712,640
4,r1_linear_vs_r0_mlp,trained,functional,rho,0.07694824196239411,0.05836540507652709,0.09546618664086277,640
4,r1_linear_vs_r0_mlp,trained,functional,stress,-0.055418964962841356,-0.06358349548854093,-0.04683719947837862,640
4,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.03172157788322265,0.017981924519408662,0.045635501089195764,640
4,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.04726206444500338,-0.0537981747939031,-0.04100284613801656,640
4,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.05923013370382979,0.04496003435083936,0.07317244149757086,640
4,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.04616338951069655,-0.053199030113524025,-0.039470712576000336,640
4,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.021790592925050308,0.011341238861036895,0.03262878095124042,640
4,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.015933633561407444,-0.019863433076702325,-0.01206461298392632,640
4,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.04269724657465419,0.02854329307534279,0.05688124407742877,640
4,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.04504986096514989,-0.05035006124502503,-0.03947803790973216,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.02605042369770464,0.017312077064925095,0.03485130287409483,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.02318629548083712,-0.02674594043470915,-0.019927715496851545,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.05238325243107025,0.04133105760049512,0.06423043184545113,640
4,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.052740408169682715,-0.057379581958769285,-0.04838009014692557,640
4,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.016049953585634137,0.004260537648141961,0.028326032719720423,640
4,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.0229036964301824,-0.027528046194301947,-0.01814466247230682,640
4,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,-0.00033768466702447373,-0.014978549660479254,0.014157926260099896,640
4,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.03507489751031051,-0.04090468283701151,-0.028845056939251098,640
4,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.017007699188479296,0.006795731381096457,0.027169093441006518,640
4,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.034395520263478696,-0.03863399523916268,-0.029873599343651552,640
4,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.02171560636409236,0.00803519661412882,0.03665672495871697,640
