model_seed,method,source_index,scale,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preserved
0,d4_no_geo,1751,-0.5,0.021101947873830795,0.0392509326338768,-0.2219254970550537,1
0,d4_no_geo,1828,-0.5,-0.0006622606888413429,0.05389220640063286,0.008282303810119629,1
0,d4_no_geo,5372,-0.5,-0.007999460212886333,0.052964482456445694,0.0008747205138206482,1
0,d4_no_geo,3968,-0.5,0.001140480861067772,0.05018124729394913,-0.013434410095214844,1
0,d4_no_geo,5105,-0.5,-0.005753395147621632,0.055798690766096115,-0.0036314725875854492,1
0,d4_no_geo,8811,-0.5,-0.04546220600605011,0.058125950396060944,0.0022457800805568695,1
0,d4_no_geo,2154,-0.5,0.01820303499698639,0.017619971185922623,0.0030972808599472046,1
0,d4_no_geo,8720,-0.5,0.021159278228878975,0.017562270164489746,0.0030035898089408875,1
0,d4_no_geo,9911,-0.5,-0.02468952164053917,0.0194333977997303,-1.9028782844543457e-05,1
0,d4_no_geo,6124,-0.5,-0.004260465037077665,0.04303878918290138,-0.0012173056602478027,1
0,d4_no_geo,293,-0.5,0.026005273684859276,0.021571874618530273,0.011204361915588379,1
0,d4_no_geo,3444,-0.5,-0.009505905210971832,0.025882389396429062,6.03795051574707e-05,1
0,d4_no_geo,8353,-0.5,-0.03137817233800888,0.014626223593950272,0.00047850608825683594,1
0,d4_no_geo,9351,-0.5,0.03375045955181122,0.027478976175189018,0.010876476764678955,1
0,d4_no_geo,9087,-0.5,-0.013713154941797256,0.050200313329696655,0.0025380849838256836,1
0,d4_no_geo,9464,-0.5,0.019189629703760147,0.01625601388514042,0.0033984072506427765,1
0,d4_no_geo,5668,-0.5,0.0030675369780510664,0.013865848071873188,0.0003216564655303955,1
0,d4_no_geo,8284,-0.5,-0.01923632062971592,0.051651690155267715,0.002180933952331543,1
0,d4_no_geo,2604,-0.5,-0.04572153091430664,0.052612822502851486,-0.009554415941238403,1
0,d4_no_geo,8740,-0.5,0.015477649867534637,0.01814679056406021,0.0032398290932178497,1
0,d4_no_geo,628,-0.5,0.0009609932894818485,0.04171654209494591,0.0013074874877929688,1
0,d4_no_geo,2306,-0.5,-0.016708847135305405,0.028571121394634247,0.0033150315284729004,1
0,d4_no_geo,3016,-0.5,-0.03466710448265076,0.013208682648837566,-0.0007741302251815796,1
0,d4_no_geo,700,-0.5,0.0032695550471544266,0.03009604848921299,0.022027932107448578,1
0,d4_no_geo,8792,-0.5,-0.016792532056570053,0.014126164838671684,7.599592208862305e-06,1
0,d4_no_geo,3392,-0.5,-0.00039592874236404896,0.04121444374322891,-0.004944264888763428,1
0,d4_no_geo,7478,-0.5,-0.044985245913267136,0.05068378522992134,-0.007128268480300903,1
0,d4_no_geo,7115,-0.5,0.013795554637908936,0.03756954148411751,0.011069834232330322,1
0,d4_no_geo,2804,-0.5,-0.016717446967959404,0.044428251683712006,-0.004999637603759766,1
0,d4_no_geo,7379,-0.5,-0.008872604928910732,0.05189036950469017,-0.0018863379955291748,1
0,d4_no_geo,6112,-0.5,-0.0030759889632463455,0.04516255483031273,-0.0020534396171569824,1
0,d4_no_geo,9951,-0.5,-0.02520413137972355,0.0191127210855484,9.677186608314514e-05,1
0,d4_no_geo,5553,-0.5,0.027528993785381317,0.0233266893774271,0.016096606850624084,1
0,d4_no_geo,7830,-0.5,-0.02550390549004078,0.015629010275006294,0.001032903790473938,1
0,d4_no_geo,5659,-0.5,-0.026174260303378105,0.017236949875950813,-0.00037588179111480713,1
0,d4_no_geo,3623,-0.5,-0.014250154606997967,0.026384452357888222,0.0013993680477142334,1
0,d4_no_geo,5770,-0.5,-0.01783706620335579,0.009934544563293457,-0.0005608350038528442,1
0,d4_no_geo,4343,-0.5,-0.02253471128642559,0.022840144112706184,0.000679895281791687,1
0,d4_no_geo,7074,-0.5,0.0071419174782931805,0.04906909540295601,-0.0018360316753387451,1
0,d4_no_geo,8707,-0.5,0.02241753600537777,0.03447528928518295,0.0054187774658203125,1
0,d4_no_geo,3675,-0.5,0.031938374042510986,0.031174251809716225,0.005248755216598511,1
0,d4_no_geo,555,-0.5,-0.022266538813710213,0.021520182490348816,-0.003824949264526367,1
0,d4_no_geo,9642,-0.5,-0.010070268996059895,0.045617979019880295,-0.010993242263793945,1
0,d4_no_geo,2501,-0.5,-0.01391984336078167,0.06006886810064316,0.0008787661790847778,1
0,d4_no_geo,4257,-0.5,-0.0069640823639929295,0.050250399857759476,-0.0027368664741516113,1
0,d4_no_geo,3064,-0.5,-0.010524985380470753,0.05010596662759781,-0.00453716516494751,1
0,d4_no_geo,1201,-0.5,0.030236128717660904,0.022109132260084152,-0.0005266517400741577,1
0,d4_no_geo,5388,-0.5,-0.00023464486002922058,0.04586777091026306,-0.0002518594264984131,1
0,d4_no_geo,5665,-0.5,-0.01365471538156271,0.03437015414237976,-0.0021130889654159546,1
0,d4_no_geo,9255,-0.5,-0.0016902528004720807,0.04774216189980507,-0.0011900663375854492,1
0,d4_no_geo,6269,-0.5,-0.006865633651614189,0.037919189780950546,0.00119057297706604,1
0,d4_no_geo,9216,-0.5,-0.002188473241403699,0.04800500348210335,-0.0008214116096496582,1
0,d4_no_geo,1712,-0.5,-0.03090154193341732,0.020343320444226265,-0.0002657100558280945,1
0,d4_no_geo,612,-0.5,0.02664148434996605,0.025025540962815285,0.009958744049072266,1
0,d4_no_geo,5539,-0.25,-0.004008864983916283,0.00986548699438572,-8.006393909454346e-05,1
0,d4_no_geo,6190,-0.25,0.0001606434234417975,0.026118852198123932,6.645917892456055e-05,1
0,d4_no_geo,2445,-0.25,0.00933397188782692,0.006362147629261017,-9.021162986755371e-05,1
0,d4_no_geo,4846,-0.25,0.0024909325875341892,0.02220487780869007,0.0025134682655334473,1
0,d4_no_geo,2634,-0.25,-0.01682247221469879,0.03482137247920036,0.0011123716831207275,1
0,d4_no_geo,3782,-0.25,-0.00011363369412720203,0.028830641880631447,-0.006392121315002441,1
0,d4_no_geo,5255,-0.25,-0.006561941467225552,0.012434495612978935,-0.00017242133617401123,1
0,d4_no_geo,4626,-0.25,0.001173664815723896,0.022887758910655975,9.884685277938843e-05,1
0,d4_no_geo,3512,-0.25,-0.005225930362939835,0.015428065322339535,-2.5950372219085693e-05,1
0,d4_no_geo,3800,-0.25,-0.003695138031616807,0.019229285418987274,-0.0009835809469223022,1
0,d4_no_geo,7462,-0.25,0.0011630547232925892,0.01837347447872162,0.00030303001403808594,1
