model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r1_linear,2622,0.0,2.9802322387695312e-08,2.9802322387695312e-08,8.634429171650027e-09,8.634429171650027e-09,0.10624728351831436,0.0920041874051094,1,-2.384185791015625e-07
1,r1_linear,6753,0.0,0.0,0.0,8.134705353768368e-09,8.134705353768368e-09,0.0616445317864418,0.06740100681781769,1,0.0
1,r1_linear,7358,0.0,0.0,0.0,7.961645565046638e-09,7.961645565046638e-09,0.04352713003754616,0.06617774814367294,1,0.0
1,r1_linear,1653,0.0,0.0,0.0,8.334457568537346e-09,8.334457568537346e-09,0.11350405961275101,0.09312587976455688,1,-1.4901161193847656e-07
1,r1_linear,7365,0.0,0.0,0.0,8.455154798525655e-09,8.455153910347235e-09,0.09933064877986908,0.08373825252056122,1,0.0
1,r1_linear,1171,0.0,0.0,0.0,8.629967851447873e-09,8.629967851447873e-09,0.10661178082227707,0.09454043209552765,1,0.0
1,r1_linear,5714,0.0,0.0,0.0,8.468244772075195e-09,8.468244772075195e-09,0.12135526537895203,0.08905836939811707,1,0.0
1,r1_linear,539,0.0,0.0,0.0,8.458152400692143e-09,8.458152400692143e-09,0.08528038114309311,0.09262002259492874,1,0.0
1,r1_linear,9134,0.0,0.0,0.0,8.304748888576796e-09,8.304748888576796e-09,0.08012212067842484,0.06784109771251678,1,0.0
1,r1_linear,4757,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.250104599483166e-09,8.250104599483166e-09,0.07727257907390594,0.06918318569660187,1,0.0
1,r1_linear,4952,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.062444045719985e-09,8.062444045719985e-09,0.0775996744632721,0.07678580284118652,1,8.940696716308594e-08
1,r1_linear,6384,0.0,0.0,0.0,8.184176891745665e-09,8.184176891745665e-09,0.084189273416996,0.08635879307985306,1,0.0
1,r1_linear,8511,0.0,0.0,0.0,7.849076055777005e-09,7.849075167598585e-09,0.11460708826780319,0.09353332221508026,1,0.0
1,r1_linear,3837,0.0,0.0,0.0,8.352197156114016e-09,8.352196267935597e-09,0.12070900946855545,0.10490206629037857,1,0.0
1,r1_linear,401,0.0,0.0,0.0,8.47821368665791e-09,8.47821368665791e-09,0.10616844892501831,0.08857091516256332,1,0.0
1,r1_linear,558,0.0,0.0,0.0,7.966472814757708e-09,7.966472814757708e-09,0.12498228251934052,0.11248365044593811,1,0.0
1,r1_linear,7355,0.0,0.0,0.0,8.63930438299576e-09,8.63930438299576e-09,0.10714249312877655,0.09238842874765396,1,0.0
1,r1_linear,9468,0.0,0.0,0.0,8.455954159103385e-09,8.455955047281805e-09,0.10588299483060837,0.08620386570692062,1,0.0
1,r1_linear,1067,0.0,0.0,0.0,8.333088885592588e-09,8.333088885592588e-09,0.10384943336248398,0.08446335792541504,1,0.0
1,r1_linear,1080,0.0,0.0,0.0,7.846633565122829e-09,7.846633565122829e-09,0.12834545969963074,0.10272622853517532,1,0.0
1,r1_linear,2623,0.0,0.0,0.0,8.18646928024691e-09,8.18646928024691e-09,0.09273713082075119,0.07495787739753723,1,0.0
1,r1_linear,7274,0.0,0.0,0.0,8.180448318739764e-09,8.180449206918183e-09,0.12086200714111328,0.1007312759757042,1,0.0
1,r1_linear,8704,0.0,4.214684778958144e-08,4.2146844236867764e-08,8.463002743042125e-09,8.463003631220545e-09,0.09264877438545227,0.0991191640496254,1,0.0
1,r1_linear,7151,0.0,0.0,0.0,8.523425520934325e-09,8.523425520934325e-09,0.09987650066614151,0.10522876679897308,1,-8.940696716308594e-08
1,r1_linear,1821,0.0,4.71216097253091e-08,4.712160617259542e-08,7.989280348397187e-09,7.989279460218768e-09,0.1285066157579422,0.11319506168365479,1,0.0
1,r1_linear,8764,0.0,5.161913918527716e-08,5.161913918527716e-08,8.230309767043309e-09,8.230309767043309e-09,0.06953079998493195,0.06707147508859634,1,0.0
1,r1_linear,8164,0.0,0.0,0.0,8.53063397698861e-09,8.53063397698861e-09,0.0992026999592781,0.09784836322069168,1,0.0
1,r1_linear,7677,0.0,4.71216097253091e-08,4.712160617259542e-08,8.627596415067273e-09,8.627595526888854e-09,0.10833431035280228,0.09498800337314606,1,-8.940696716308594e-08
1,r1_linear,1187,0.0,0.0,0.0,8.327180722744743e-09,8.327180722744743e-09,0.11145133525133133,0.10719373822212219,1,0.0
1,r1_linear,8985,0.0,0.0,0.0,8.472781587443023e-09,8.472781587443023e-09,0.11414453387260437,0.10456772148609161,1,0.0
1,r1_linear,4464,0.0,0.0,0.0,8.072725599106434e-09,8.072725599106434e-09,0.08779910951852798,0.09901145100593567,1,0.0
1,r1_linear,2889,0.0,0.0,0.0,7.972396076638688e-09,7.972396076638688e-09,0.10484544932842255,0.09266012907028198,1,0.0
1,r1_linear,7308,0.0,4.214684778958144e-08,4.2146844236867764e-08,8.411468854774284e-09,8.411468854774284e-09,0.08043990284204483,0.09068230539560318,1,1.043081283569336e-07
1,r1_linear,4930,0.0,0.0,0.0,7.860576189955282e-09,7.860577078133701e-09,0.12163126468658447,0.0975104421377182,1,0.0
1,r1_linear,1635,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.139688922881305e-09,8.139688922881305e-09,0.10374841839075089,0.08849240839481354,1,0.0
1,r1_linear,9014,0.0,0.0,0.0,8.0798159274309e-09,8.0798159274309e-09,0.051174573600292206,0.06287604570388794,1,0.0
1,r1_linear,6553,0.0,0.0,0.0,7.795250667186338e-09,7.795250667186338e-09,0.11232908070087433,0.09079776704311371,1,1.4901161193847656e-07
1,r1_linear,1822,0.0,0.0,0.0,7.751253860988072e-09,7.751253860988072e-09,0.08885834366083145,0.08053921163082123,1,0.0
1,r1_linear,4815,0.0,4.214684778958144e-08,4.2146844236867764e-08,8.63465388079021e-09,8.63465388079021e-09,0.1075001060962677,0.09434357285499573,1,0.0
1,r1_linear,7085,0.0,0.0,0.0,7.845457616895146e-09,7.845457616895146e-09,0.11892396956682205,0.10325926542282104,1,0.0
1,r1_linear,7239,0.0,0.0,0.0,8.02196975513425e-09,8.02196975513425e-09,0.055499911308288574,0.07620750367641449,1,0.0
1,r1_linear,3407,0.0,0.0,0.0,8.247242000436472e-09,8.247242000436472e-09,0.09363976866006851,0.07727161049842834,1,0.0
1,r1_linear,2111,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.386997762954707e-09,8.386997762954707e-09,0.10987655073404312,0.09072611480951309,1,0.0
1,r1_linear,3240,0.0,0.0,0.0,8.133852702485456e-09,8.133852702485456e-09,0.0921812504529953,0.07333377003669739,1,0.0
