method,angle,host,route_mass_mean,ablation_mean,ablation_median,positive_fraction,count
sensory_bottleneck_geo,-30.0,1,0.3337054147559684,0.03957114192598965,0.02593657746911049,0.5859375,256
sensory_bottleneck_geo,-30.0,2,0.04751429448151612,-0.006667163848760538,-8.279457688331604e-05,0.5,256
sensory_bottleneck_geo,-30.0,3,0.5897178870509379,0.21952140153734945,0.06835323572158813,0.6328125,256
sensory_bottleneck_geo,-15.0,0,0.028360561562294606,0.00041974610940087587,0.0003333836793899536,0.53515625,256
sensory_bottleneck_geo,-15.0,1,0.3200574829534162,0.01403572854178492,0.01612897962331772,0.578125,256
sensory_bottleneck_geo,-15.0,2,0.04953156470764952,-0.009273258343455382,-0.0016505792737007141,0.4765625,256
sensory_bottleneck_geo,-15.0,3,0.6020503918407485,0.38598204977461137,0.17055481672286987,0.80078125,256
sensory_bottleneck_geo,0.0,0,0.028149999259767355,0.0008911128170439042,6.54272735118866e-05,0.5078125,256
sensory_bottleneck_geo,0.0,1,0.3237339471379528,0.010180556993873324,0.011721059679985046,0.5546875,256
sensory_bottleneck_geo,0.0,2,0.05061552464394481,-0.007770511641865596,0.0004095025360584259,0.5078125,256
sensory_bottleneck_geo,0.0,3,0.5975005332147703,0.45425336936023086,0.22832128405570984,0.83203125,256
sensory_bottleneck_geo,15.0,0,0.024861271951522212,0.0010674892910174094,-0.0002447254955768585,0.48828125,256
sensory_bottleneck_geo,15.0,1,0.34069031054968946,0.014280835275712889,0.0013190358877182007,0.515625,256
sensory_bottleneck_geo,15.0,2,0.04790801409035339,0.0024484785099048167,-0.00012010335922241211,0.4921875,256
sensory_bottleneck_geo,15.0,3,0.5865404000505805,0.4790376923047006,0.1925497055053711,0.80078125,256
sensory_bottleneck_geo,30.0,0,0.023122035319829592,0.0020108100725337863,-0.0008742809295654297,0.42578125,256
sensory_bottleneck_geo,30.0,1,0.3760139947407879,0.024565170184359886,0.024637360125780106,0.53515625,256
sensory_bottleneck_geo,30.0,2,0.0485169209241576,0.019090092449914664,0.0011306628584861755,0.515625,256
sensory_bottleneck_geo,30.0,3,0.5523470530752093,0.4205979800608475,0.10364159941673279,0.67578125,256
sensory_bottleneck_geo,45.0,0,0.02288179514471267,0.0032084377235150896,-0.0008238554000854492,0.41015625,256
sensory_bottleneck_geo,45.0,1,0.42357870560954325,0.03183135086874245,0.00107574462890625,0.5,256
sensory_bottleneck_geo,45.0,2,0.054553750494960696,0.02832756456336938,0.0031789839267730713,0.52734375,256
sensory_bottleneck_geo,45.0,3,0.4989857489708811,0.37937161696027033,0.05206434428691864,0.5859375,256
sensory_bottleneck_geo,60.0,0,0.02836656836916518,0.0034929271350847557,-0.0005471706390380859,0.4609375,256
sensory_bottleneck_geo,60.0,1,0.4626774687494617,-0.0003817406395683065,-0.0067399367690086365,0.4765625,256
sensory_bottleneck_geo,60.0,2,0.06429794985342596,0.0429362040158594,-0.0013117678463459015,0.484375,256
sensory_bottleneck_geo,60.0,3,0.4446580135845579,0.3598634399531875,0.03844970464706421,0.55859375,256
