method,angle,source_index,host,route_mass,ablation_impact
context_bottleneck_no_geo,-45.0,700,0,0.0021152952685952187,3.6016106605529785e-05
context_bottleneck_no_geo,-45.0,8792,0,0.030922777950763702,0.02595067024230957
context_bottleneck_no_geo,-45.0,3392,0,0.039263252168893814,0.024795055389404297
context_bottleneck_no_geo,-45.0,7478,0,0.05876193568110466,-0.02185434103012085
context_bottleneck_no_geo,-45.0,7115,0,0.02227230742573738,0.02320241928100586
context_bottleneck_no_geo,-45.0,2804,0,0.005296478513628244,-0.003924429416656494
context_bottleneck_no_geo,-45.0,7379,0,0.048978645354509354,-0.0077016353607177734
context_bottleneck_no_geo,-45.0,6112,0,0.08638247847557068,-0.10317373275756836
context_bottleneck_no_geo,-45.0,9951,0,0.03229618817567825,-0.09741568565368652
context_bottleneck_no_geo,-45.0,5553,0,0.0022249375469982624,0.00037288665771484375
context_bottleneck_no_geo,-45.0,7830,0,0.18453605473041534,-0.0005432069301605225
context_bottleneck_no_geo,-45.0,5659,0,0.1603064239025116,0.0016674473881721497
context_bottleneck_no_geo,-45.0,3623,0,0.040811359882354736,-0.048253774642944336
context_bottleneck_no_geo,-45.0,5770,0,0.061469435691833496,0.07723712921142578
context_bottleneck_no_geo,-45.0,4343,0,0.11741979420185089,-0.046834588050842285
context_bottleneck_no_geo,-45.0,7074,0,0.045784253627061844,-0.02546393871307373
context_bottleneck_no_geo,-45.0,8707,0,0.04840872809290886,0.09273242950439453
context_bottleneck_no_geo,-45.0,3675,0,0.05803661420941353,0.07421398162841797
context_bottleneck_no_geo,-45.0,555,0,0.022244371473789215,-0.0189816951751709
context_bottleneck_no_geo,-45.0,9642,0,0.009997548535466194,-0.011753320693969727
context_bottleneck_no_geo,-45.0,2501,0,0.02070801705121994,0.017905592918395996
context_bottleneck_no_geo,-45.0,4257,0,0.06435173004865646,-0.06401574611663818
context_bottleneck_no_geo,-45.0,3064,0,0.01969875767827034,-0.01009368896484375
context_bottleneck_no_geo,-45.0,1201,0,0.003550379304215312,0.0053327083587646484
context_bottleneck_no_geo,-45.0,5388,0,0.03161897137761116,-0.020730972290039062
context_bottleneck_no_geo,-45.0,5665,0,0.026906730607151985,0.03666234016418457
