model_seed,method,source_index,target_angle,donor_angle,gap,category,nominal_route_distance,functional_route_distance,prediction_preserved,true_log_prob_change
4,r0_mlp,8225,-75.0,-45.0,30.0,near,0.05540325120091438,0.05153709650039673,1,0.047754764556884766
4,r0_mlp,5603,-75.0,-45.0,30.0,near,0.002284949878230691,1.5630520877607523e-08,1,4.044175148010254e-05
4,r0_mlp,755,-75.0,-45.0,30.0,near,0.13325057923793793,0.19504138827323914,1,-0.0426938533782959
4,r0_mlp,9587,-75.0,-45.0,30.0,near,0.041213057935237885,0.04436394199728966,1,0.012958526611328125
4,r0_mlp,544,-75.0,15.0,90.0,far,0.07942073792219162,0.11487852782011032,1,-0.05639076232910156
4,r0_mlp,4306,-75.0,15.0,90.0,far,0.25893691182136536,0.3592081069946289,1,-0.7641501426696777
4,r0_mlp,6410,-75.0,15.0,90.0,far,0.2155614048242569,0.31709790229797363,1,0.20098400115966797
4,r0_mlp,6382,-75.0,15.0,90.0,far,0.2403676062822342,0.3580453097820282,0,-0.6878218650817871
4,r0_mlp,8949,-75.0,15.0,90.0,far,0.273867666721344,0.37609589099884033,1,-0.027881979942321777
4,r0_mlp,9600,-75.0,15.0,90.0,far,0.16646899282932281,0.2322574406862259,0,-0.35066235065460205
4,r0_mlp,486,-75.0,15.0,90.0,far,0.11118234694004059,0.10561487823724747,1,-0.0200347900390625
4,r0_mlp,109,-75.0,15.0,90.0,far,0.03153615817427635,0.028849460184574127,1,0.011648833751678467
4,r0_mlp,2500,-75.0,15.0,90.0,far,0.1110958606004715,0.13913236558437347,1,-0.1814408302307129
4,r0_mlp,1413,-75.0,15.0,90.0,far,0.0521269328892231,0.06981044262647629,1,0.026184558868408203
4,r0_mlp,360,-75.0,15.0,90.0,far,0.1513042002916336,0.22133222222328186,1,-0.1535954475402832
4,r0_mlp,2139,-75.0,15.0,90.0,far,0.24309198558330536,0.356614351272583,1,-0.3330535888671875
4,r0_mlp,9158,-75.0,15.0,90.0,far,0.09554491937160492,0.09856845438480377,0,-0.06169271469116211
