model_seed,method,angle,host,mean_route_mass,host_specialization
4,r3_hybrid_energy,60.0,0,0.11550650745630264,0.06328308582305908
4,r3_hybrid_energy,60.0,1,0.31117013096809387,0.023828566074371338
4,r3_hybrid_energy,60.0,2,0.37639373540878296,0.06077921390533447
4,r3_hybrid_energy,60.0,3,0.19692963361740112,0.024842679500579834
4,r3_hybrid_energy,75.0,0,0.08818116784095764,0.06328308582305908
4,r3_hybrid_energy,75.0,1,0.3568837642669678,0.023828566074371338
4,r3_hybrid_energy,75.0,2,0.3944447934627533,0.06077921390533447
4,r3_hybrid_energy,75.0,3,0.1604902744293213,0.024842679500579834
4,r4_smooth_residual,-75.0,0,0.15813784301280975,0.0016884207725524902
4,r4_smooth_residual,-75.0,1,0.43776077032089233,0.0018309950828552246
4,r4_smooth_residual,-75.0,2,0.22039201855659485,0.00036203861236572266
4,r4_smooth_residual,-75.0,3,0.1837093085050583,0.0007953047752380371
4,r4_smooth_residual,-60.0,0,0.16914944350719452,0.0016884207725524902
4,r4_smooth_residual,-60.0,1,0.41544342041015625,0.0018309950828552246
4,r4_smooth_residual,-60.0,2,0.22754625976085663,0.00036203861236572266
4,r4_smooth_residual,-60.0,3,0.18786093592643738,0.0007953047752380371
4,r4_smooth_residual,-45.0,0,0.1852659285068512,0.0016884207725524902
4,r4_smooth_residual,-45.0,1,0.3805692791938782,0.0018309950828552246
4,r4_smooth_residual,-45.0,2,0.23763160407543182,0.00036203861236572266
4,r4_smooth_residual,-45.0,3,0.1965331733226776,0.0007953047752380371
4,r4_smooth_residual,-30.0,0,0.1945256143808365,0.0016884207725524902
4,r4_smooth_residual,-30.0,1,0.35259899497032166,0.0018309950828552246
4,r4_smooth_residual,-30.0,2,0.2436170130968094,0.00036203861236572266
4,r4_smooth_residual,-30.0,3,0.20925839245319366,0.0007953047752380371
4,r4_smooth_residual,-15.0,0,0.19484055042266846,0.0016884207725524902
