model_seed,metric,angle_a,angle_b,factor_gap,category,distance
4,bures,-75.0,-45.0,30.0,near,0.23069034000697997
4,bures,-75.0,-30.0,45.0,mid,0.24543185778780494
4,bures,-75.0,-15.0,60.0,mid,0.20246795383920727
4,bures,-75.0,0.0,75.0,mid,0.1843481080331203
4,bures,-75.0,15.0,90.0,far,0.1981866073625756
4,bures,-75.0,30.0,105.0,far,0.22994160723124954
4,bures,-75.0,45.0,120.0,far,0.20854913687170243
4,bures,-75.0,60.0,135.0,far,0.14242053163183138
4,bures,-75.0,75.0,150.0,far,0.10813729490512236
4,bures,-60.0,-45.0,15.0,near,0.130994907585362
4,bures,-60.0,-30.0,30.0,near,0.16135439939392404
4,bures,-60.0,-15.0,45.0,mid,0.13748015249154583
4,bures,-60.0,0.0,60.0,mid,0.1348169504972194
4,bures,-60.0,15.0,75.0,mid,0.15646990957535267
4,bures,-60.0,30.0,90.0,far,0.17986330506869555
4,bures,-60.0,45.0,105.0,far,0.1454272099408975
4,bures,-60.0,60.0,120.0,far,0.0775495814339424
4,bures,-60.0,75.0,135.0,far,0.06657100897193569
4,bures,-45.0,-30.0,15.0,near,0.06005472606304725
4,bures,-45.0,-15.0,30.0,near,0.10374972023139416
4,bures,-45.0,0.0,45.0,mid,0.1280242358564035
4,bures,-45.0,15.0,60.0,mid,0.1570242476443369
4,bures,-45.0,30.0,75.0,mid,0.15406496186843874
4,bures,-45.0,45.0,90.0,far,0.11384656840527543
4,bures,-45.0,60.0,105.0,far,0.12247612928442765
4,bures,-45.0,75.0,120.0,far,0.16404713221893766
4,bures,-30.0,-15.0,15.0,near,0.08527047838349049
4,bures,-30.0,0.0,30.0,near,0.1279344233238372
4,bures,-30.0,15.0,45.0,mid,0.16089445842810443
4,bures,-30.0,30.0,60.0,mid,0.1551677976154509
4,bures,-30.0,45.0,75.0,mid,0.11415692230843266
4,bures,-30.0,60.0,90.0,far,0.13569241686085864
4,bures,-30.0,75.0,105.0,far,0.1784603365057855
4,bures,-15.0,0.0,15.0,near,0.06282429097319782
4,bures,-15.0,15.0,30.0,near,0.10903271354613646
4,bures,-15.0,30.0,45.0,mid,0.12510312641492335
4,bures,-15.0,45.0,60.0,mid,0.0995385718393509
4,bures,-15.0,60.0,75.0,mid,0.1126806615773962
4,bures,-15.0,75.0,90.0,far,0.13543517097418914
4,bures,0.0,15.0,15.0,near,0.056501715070717384
4,bures,0.0,30.0,30.0,near,0.08483502955040732
4,bures,0.0,45.0,45.0,mid,0.07928965098808098
4,bures,0.0,60.0,60.0,mid,0.10329410601806287
