model_seed,method,stage,angle,angle_type,accuracy,nll
1,r1_linear,0,45.0,heldout,0.209375,2.2078548431396485
1,r1_linear,0,60.0,train,0.16875,2.2415578365325928
1,r1_linear,0,75.0,heldout,0.171875,2.3678932189941406
1,r1_linear,1,-75.0,heldout,0.4765625,1.50766978263855
1,r1_linear,1,-60.0,train,0.6109375,1.2239134073257447
1,r1_linear,1,-45.0,heldout,0.7,0.9992152690887451
1,r1_linear,1,-30.0,train,0.7296875,0.9336329579353333
1,r1_linear,1,-15.0,heldout,0.7296875,0.9783500671386719
1,r1_linear,1,0.0,train,0.653125,1.0910319089889526
1,r1_linear,1,15.0,heldout,0.553125,1.2919622898101806
1,r1_linear,1,30.0,train,0.4234375,1.5879777908325194
1,r1_linear,1,45.0,heldout,0.2703125,1.9761024713516235
1,r1_linear,1,60.0,train,0.15,2.334889125823975
1,r1_linear,1,75.0,heldout,0.125,2.6073482036590576
1,r1_linear,2,-75.0,heldout,0.184375,2.3719305038452148
1,r1_linear,2,-60.0,train,0.2828125,1.946235966682434
1,r1_linear,2,-45.0,heldout,0.490625,1.3511329174041748
1,r1_linear,2,-30.0,train,0.728125,0.7839416980743408
1,r1_linear,2,-15.0,heldout,0.8953125,0.3761184811592102
1,r1_linear,2,0.0,train,0.940625,0.27473936080932615
1,r1_linear,2,15.0,heldout,0.875,0.4651640057563782
1,r1_linear,2,30.0,train,0.6609375,1.031291675567627
1,r1_linear,2,45.0,heldout,0.396875,1.8851045608520507
1,r1_linear,2,60.0,train,0.2109375,2.6087279319763184
1,r1_linear,2,75.0,heldout,0.1375,3.093355989456177
1,r1_linear,3,-75.0,heldout,0.2578125,2.376431465148926
1,r1_linear,3,-60.0,train,0.2765625,2.216260862350464
1,r1_linear,3,-45.0,heldout,0.3515625,1.8758515119552612
1,r1_linear,3,-30.0,train,0.4921875,1.4037137269973754
1,r1_linear,3,-15.0,heldout,0.696875,0.8522334098815918
1,r1_linear,3,0.0,train,0.7859375,0.6387124180793762
1,r1_linear,3,15.0,heldout,0.765625,0.7375166058540344
1,r1_linear,3,30.0,train,0.7015625,0.9335317492485047
1,r1_linear,3,45.0,heldout,0.5984375,1.1644907474517823
1,r1_linear,3,60.0,train,0.5328125,1.3565929651260376
1,r1_linear,3,75.0,heldout,0.4171875,1.759243869781494
1,r1_linear,4,-75.0,heldout,0.2375,2.3903438091278075
1,r1_linear,4,-60.0,train,0.2578125,2.141690731048584
1,r1_linear,4,-45.0,heldout,0.4015625,1.6950521230697633
1,r1_linear,4,-30.0,train,0.6015625,1.168506646156311
1,r1_linear,4,-15.0,heldout,0.8078125,0.6316900670528411
1,r1_linear,4,0.0,train,0.9,0.41180515885353086
1,r1_linear,4,15.0,heldout,0.878125,0.4631730616092682
1,r1_linear,4,30.0,train,0.821875,0.6460230588912964
1,r1_linear,4,45.0,heldout,0.66875,0.9652372241020203
1,r1_linear,4,60.0,train,0.5515625,1.2690736770629882
1,r1_linear,4,75.0,heldout,0.3859375,1.765877103805542
1,r2_prototype_energy,0,-75.0,heldout,0.49375,1.465782594680786
1,r2_prototype_energy,0,-60.0,train,0.5515625,1.383689284324646
1,r2_prototype_energy,0,-45.0,heldout,0.46875,1.5451720476150512
1,r2_prototype_energy,0,-30.0,train,0.3390625,1.9041727781295776
1,r2_prototype_energy,0,-15.0,heldout,0.2625,2.196980428695679
1,r2_prototype_energy,0,0.0,train,0.234375,2.3251030445098877
1,r2_prototype_energy,0,15.0,heldout,0.2046875,2.397663116455078
1,r2_prototype_energy,0,30.0,train,0.1984375,2.3868717670440676
1,r2_prototype_energy,0,45.0,heldout,0.1671875,2.4113207340240477
1,r2_prototype_energy,0,60.0,train,0.1328125,2.4942417621612547
1,r2_prototype_energy,0,75.0,heldout,0.121875,2.603466510772705
1,r2_prototype_energy,1,-75.0,heldout,0.3265625,1.6862112760543824
1,r2_prototype_energy,1,-60.0,train,0.4984375,1.3070436000823975
1,r2_prototype_energy,1,-45.0,heldout,0.6671875,1.02907874584198
1,r2_prototype_energy,1,-30.0,train,0.746875,0.8620787739753724
1,r2_prototype_energy,1,-15.0,heldout,0.796875,0.7889912247657775
1,r2_prototype_energy,1,0.0,train,0.74375,0.8386265993118286
1,r2_prototype_energy,1,15.0,heldout,0.6125,1.2447934865951538
1,r2_prototype_energy,1,30.0,train,0.43125,1.8160595178604126
1,r2_prototype_energy,1,45.0,heldout,0.2375,2.4780641078948973
1,r2_prototype_energy,1,60.0,train,0.1453125,2.854554796218872
1,r2_prototype_energy,1,75.0,heldout,0.11875,3.0162561893463136
1,r2_prototype_energy,2,-75.0,heldout,0.23125,2.3716925144195558
1,r2_prototype_energy,2,-60.0,train,0.3171875,1.8993289470672607
1,r2_prototype_energy,2,-45.0,heldout,0.515625,1.3432784795761108
1,r2_prototype_energy,2,-30.0,train,0.7328125,0.7968363523483276
1,r2_prototype_energy,2,-15.0,heldout,0.8859375,0.39741859436035154
1,r2_prototype_energy,2,0.0,train,0.9171875,0.27205210030078886
1,r2_prototype_energy,2,15.0,heldout,0.815625,0.5916225552558899
1,r2_prototype_energy,2,30.0,train,0.578125,1.344719362258911
1,r2_prototype_energy,2,45.0,heldout,0.3109375,2.4029967308044435
1,r2_prototype_energy,2,60.0,train,0.175,3.0870766639709473
1,r2_prototype_energy,2,75.0,heldout,0.13125,3.4289738655090334
1,r2_prototype_energy,3,-75.0,heldout,0.240625,2.1363924503326417
1,r2_prototype_energy,3,-60.0,train,0.2921875,1.919847011566162
1,r2_prototype_energy,3,-45.0,heldout,0.403125,1.70695161819458
1,r2_prototype_energy,3,-30.0,train,0.4921875,1.4569616794586182
1,r2_prototype_energy,3,-15.0,heldout,0.6078125,1.0711987972259522
1,r2_prototype_energy,3,0.0,train,0.6453125,0.8791353344917298
1,r2_prototype_energy,3,15.0,heldout,0.6484375,0.9583335995674134
1,r2_prototype_energy,3,30.0,train,0.6265625,1.0680908918380738
1,r2_prototype_energy,3,45.0,heldout,0.575,1.1638596057891846
1,r2_prototype_energy,3,60.0,train,0.503125,1.321311092376709
1,r2_prototype_energy,3,75.0,heldout,0.3984375,1.8227079391479493
1,r2_prototype_energy,4,-75.0,heldout,0.3125,2.113502931594849
1,r2_prototype_energy,4,-60.0,train,0.3296875,1.8946468830108643
1,r2_prototype_energy,4,-45.0,heldout,0.4375,1.5969210863113403
1,r2_prototype_energy,4,-30.0,train,0.5546875,1.2491328716278076
1,r2_prototype_energy,4,-15.0,heldout,0.7171875,0.7698611140251159
1,r2_prototype_energy,4,0.0,train,0.8203125,0.5063935220241547
1,r2_prototype_energy,4,15.0,heldout,0.85,0.5195104539394378
1,r2_prototype_energy,4,30.0,train,0.7953125,0.6729520916938782
1,r2_prototype_energy,4,45.0,heldout,0.6359375,1.0075185656547547
1,r2_prototype_energy,4,60.0,train,0.5203125,1.313481855392456
1,r2_prototype_energy,4,75.0,heldout,0.3515625,1.8699104547500611
2,r0_mlp,0,-75.0,heldout,0.521875,1.4450944185256958
2,r0_mlp,0,-60.0,train,0.553125,1.347444272041321
2,r0_mlp,0,-45.0,heldout,0.4828125,1.5192566871643067
2,r0_mlp,0,-30.0,train,0.3671875,1.933283805847168
2,r0_mlp,0,-15.0,heldout,0.2640625,2.279402732849121
2,r0_mlp,0,0.0,train,0.234375,2.4462547302246094
2,r0_mlp,0,15.0,heldout,0.1953125,2.4164366245269777
2,r0_mlp,0,30.0,train,0.2078125,2.283421277999878
2,r0_mlp,0,45.0,heldout,0.20625,2.185111665725708
2,r0_mlp,0,60.0,train,0.1609375,2.2300443172454836
2,r0_mlp,0,75.0,heldout,0.190625,2.3192348957061766
2,r0_mlp,1,-75.0,heldout,0.4625,1.5327277898788452
2,r0_mlp,1,-60.0,train,0.5984375,1.2123725891113282
2,r0_mlp,1,-45.0,heldout,0.721875,0.9431630849838257
2,r0_mlp,1,-30.0,train,0.7515625,0.8526771783828735
2,r0_mlp,1,-15.0,heldout,0.7625,0.8865446448326111
2,r0_mlp,1,0.0,train,0.675,1.0168163061141968
2,r0_mlp,1,15.0,heldout,0.5609375,1.227601957321167
2,r0_mlp,1,30.0,train,0.4265625,1.5541197299957275
2,r0_mlp,1,45.0,heldout,0.29375,1.9780839443206788
2,r0_mlp,1,60.0,train,0.1609375,2.3751380920410154
2,r0_mlp,1,75.0,heldout,0.13125,2.5916990280151366
2,r0_mlp,2,-75.0,heldout,0.2203125,2.2965657711029053
2,r0_mlp,2,-60.0,train,0.303125,1.904750156402588
2,r0_mlp,2,-45.0,heldout,0.515625,1.3122941732406617
2,r0_mlp,2,-30.0,train,0.7375,0.7700942873954773
2,r0_mlp,2,-15.0,heldout,0.896875,0.3541655302047729
2,r0_mlp,2,0.0,train,0.9375,0.26413079500198366
2,r0_mlp,2,15.0,heldout,0.8734375,0.4553932726383209
2,r0_mlp,2,30.0,train,0.6859375,0.9923019886016846
2,r0_mlp,2,45.0,heldout,0.415625,1.8044745922088623
2,r0_mlp,2,60.0,train,0.23125,2.5113393306732177
2,r0_mlp,2,75.0,heldout,0.1390625,2.9429590702056885
2,r0_mlp,3,-75.0,heldout,0.2625,2.301374912261963
2,r0_mlp,3,-60.0,train,0.2890625,2.1419487476348875
2,r0_mlp,3,-45.0,heldout,0.3640625,1.8416540145874023
2,r0_mlp,3,-30.0,train,0.503125,1.411024236679077
2,r0_mlp,3,-15.0,heldout,0.6890625,0.8619595766067505
2,r0_mlp,3,0.0,train,0.784375,0.6604950189590454
2,r0_mlp,3,15.0,heldout,0.7484375,0.7597752928733825
2,r0_mlp,3,30.0,train,0.6921875,0.9018128275871277
2,r0_mlp,3,45.0,heldout,0.6171875,1.073685383796692
2,r0_mlp,3,60.0,train,0.5546875,1.2343385934829711
2,r0_mlp,3,75.0,heldout,0.4484375,1.616154718399048
2,r0_mlp,4,-75.0,heldout,0.2515625,2.4237536907196047
2,r0_mlp,4,-60.0,train,0.284375,2.1795247077941893
2,r0_mlp,4,-45.0,heldout,0.4140625,1.6965085029602052
2,r0_mlp,4,-30.0,train,0.6328125,1.1429200649261475
2,r0_mlp,4,-15.0,heldout,0.8328125,0.5750589787960052
2,r0_mlp,4,0.0,train,0.9046875,0.3687296032905579
2,r0_mlp,4,15.0,heldout,0.890625,0.4335275113582611
2,r0_mlp,4,30.0,train,0.8125,0.6240172266960144
2,r0_mlp,4,45.0,heldout,0.6703125,0.9432013750076294
2,r0_mlp,4,60.0,train,0.5609375,1.2483347177505493
2,r0_mlp,4,75.0,heldout,0.40625,1.7299325227737428
2,r1_linear,0,-75.0,heldout,0.521875,1.44119873046875
2,r1_linear,0,-60.0,train,0.5515625,1.342804527282715
2,r1_linear,0,-45.0,heldout,0.4890625,1.5138152599334718
2,r1_linear,0,-30.0,train,0.36875,1.9271872282028197
2,r1_linear,0,-15.0,heldout,0.26875,2.274593687057495
2,r1_linear,0,0.0,train,0.2390625,2.441555404663086
2,r1_linear,0,15.0,heldout,0.203125,2.411289119720459
2,r1_linear,0,30.0,train,0.2125,2.27738561630249
2,r1_linear,0,45.0,heldout,0.209375,2.177326726913452
2,r1_linear,0,60.0,train,0.1625,2.222469663619995
2,r1_linear,0,75.0,heldout,0.196875,2.315117359161377
2,r1_linear,1,-75.0,heldout,0.4578125,1.531478762626648
2,r1_linear,1,-60.0,train,0.5953125,1.208784818649292
2,r1_linear,1,-45.0,heldout,0.7234375,0.939455783367157
2,r1_linear,1,-30.0,train,0.7546875,0.8476746559143067
2,r1_linear,1,-15.0,heldout,0.7609375,0.8793611288070678
2,r1_linear,1,0.0,train,0.6796875,1.0056007623672485
2,r1_linear,1,15.0,heldout,0.565625,1.2168516635894775
2,r1_linear,1,30.0,train,0.428125,1.545854425430298
2,r1_linear,1,45.0,heldout,0.2953125,1.9718147754669189
2,r1_linear,1,60.0,train,0.1578125,2.3711572170257567
2,r1_linear,1,75.0,heldout,0.134375,2.5932766914367678
2,r1_linear,2,-75.0,heldout,0.21875,2.292901134490967
2,r1_linear,2,-60.0,train,0.296875,1.8958827257156372
2,r1_linear,2,-45.0,heldout,0.515625,1.3045801639556884
2,r1_linear,2,-30.0,train,0.7390625,0.7608239889144898
2,r1_linear,2,-15.0,heldout,0.903125,0.3510121047496796
2,r1_linear,2,0.0,train,0.9375,0.2616122305393219
2,r1_linear,2,15.0,heldout,0.871875,0.4529318451881409
2,r1_linear,2,30.0,train,0.6828125,0.9947081565856933
2,r1_linear,2,45.0,heldout,0.40625,1.8214076519012452
2,r1_linear,2,60.0,train,0.2265625,2.5406863689422607
2,r1_linear,2,75.0,heldout,0.1359375,2.9818517684936525
