model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
1,r0_mlp,trained,nominal,rho,0.4060757439989093,0.381930545414011,0.4297044836812994,640
1,r0_mlp,trained,nominal,stress,0.4501885088063233,0.4407570844103389,0.4593625047354085,640
1,r0_mlp,trained,functional,rho,0.41249175267237437,0.3887803299060731,0.43637102458199073,640
1,r0_mlp,trained,functional,stress,0.49522804761647166,0.48421145760165446,0.5058889536847714,640
1,r0_mlp,heldout_dense,nominal,rho,0.3421394640713246,0.32089979574768424,0.3622991492598647,640
1,r0_mlp,heldout_dense,nominal,stress,0.5003073446961765,0.49149297904426514,0.5090517429285719,640
1,r0_mlp,heldout_dense,functional,rho,0.34500673968849455,0.3232695486158045,0.3651942331279951,640
1,r0_mlp,heldout_dense,functional,stress,0.5393840775582934,0.5304627813840694,0.5484033024644805,640
1,r1_linear,trained,nominal,rho,0.459390193780892,0.4333259034375877,0.48551482042867183,640
1,r1_linear,trained,nominal,stress,0.43924780820235443,0.4292291804003293,0.44944424539480154,640
1,r1_linear,trained,functional,rho,0.4125811397901161,0.3842352432664531,0.4395363217402467,640
1,r1_linear,trained,functional,stress,0.4988465465347328,0.48757430453228834,0.5101769932686033,640
1,r1_linear,heldout_dense,nominal,rho,0.34161787926056303,0.318224728455806,0.36291417267553755,640
1,r1_linear,heldout_dense,nominal,stress,0.5140280550763016,0.5056926718650198,0.5218791685190466,640
1,r1_linear,heldout_dense,functional,rho,0.3110028680476854,0.2881859820082987,0.3326570666200996,640
1,r1_linear,heldout_dense,functional,stress,0.5676932425444366,0.558674580064443,0.5765981742796388,640
1,r2_prototype_energy,trained,nominal,rho,0.49279118011040157,0.4676925189362578,0.5177828250408045,640
1,r2_prototype_energy,trained,nominal,stress,0.437095416840394,0.42791786012972344,0.446980025953657,640
1,r2_prototype_energy,trained,functional,rho,0.4215893748780927,0.3968683742764079,0.4470659449222447,640
1,r2_prototype_energy,trained,functional,stress,0.47124821541503287,0.4618227323529397,0.4813560476929216,640
1,r2_prototype_energy,heldout_dense,nominal,rho,0.3721406765842453,0.349220914424725,0.3955791418704898,640
1,r2_prototype_energy,heldout_dense,nominal,stress,0.4946385118094171,0.485057349867301,0.5035906731728101,640
1,r2_prototype_energy,heldout_dense,functional,rho,0.30935166309427997,0.2871952590362555,0.3316576265538433,640
1,r2_prototype_energy,heldout_dense,functional,stress,0.5293707754108528,0.5201232692416048,0.5382355621225947,640
2,r0_mlp,trained,nominal,rho,0.33525135104151005,0.31163949559247106,0.35849299484456854,640
2,r0_mlp,trained,nominal,stress,0.510322901987945,0.5007578573047394,0.5199948986307839,640
2,r0_mlp,trained,functional,rho,0.3072235236784782,0.28252139369053886,0.33137890246289703,640
2,r0_mlp,trained,functional,stress,0.5498627262465968,0.539890300411105,0.559809619161225,640
