model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
4,r1_linear,heldout_dense,functional,stress,0.576724733250044,0.5689504865782824,0.5844674777201753,640
4,r2_prototype_energy,trained,nominal,rho,0.30545564512758533,0.2809437110623966,0.3300517520619809,640
4,r2_prototype_energy,trained,nominal,stress,0.5216697285941312,0.512016177428999,0.5312845976475082,640
4,r2_prototype_energy,trained,functional,rho,0.3157947550797172,0.29179853502438863,0.3394902868028644,640
4,r2_prototype_energy,trained,functional,stress,0.5195602729513085,0.5102999567768466,0.5287292943030741,640
4,r2_prototype_energy,heldout_dense,nominal,rho,0.22102228398122215,0.19963795511890645,0.2426965822997969,640
4,r2_prototype_energy,heldout_dense,nominal,stress,0.571338173725769,0.5627000126396461,0.5797587180442878,640
4,r2_prototype_energy,heldout_dense,functional,rho,0.23137329304340745,0.21026848753271538,0.2529396722947832,640
4,r2_prototype_energy,heldout_dense,functional,stress,0.570147714591058,0.5613277590681204,0.5786675842095895,640
4,r3_hybrid_energy,trained,nominal,rho,0.2997150057881691,0.2767025406230986,0.3224146160411434,640
4,r3_hybrid_energy,trained,nominal,stress,0.5146996657253562,0.5057915274373022,0.5236124900312169,640
4,r3_hybrid_energy,trained,functional,rho,0.27275982383803854,0.24937888510983253,0.29580233300657227,640
4,r3_hybrid_energy,trained,functional,stress,0.5295352364061479,0.5203364262301056,0.5384277105925545,640
4,r3_hybrid_energy,heldout_dense,nominal,rho,0.21197955947199681,0.19151383943868946,0.23232446490203798,640
4,r3_hybrid_energy,heldout_dense,nominal,stress,0.5601289489431275,0.5522114676482913,0.5679434305200854,640
4,r3_hybrid_energy,heldout_dense,functional,rho,0.2007056469764296,0.17958558765387517,0.22128328953435838,640
