partition,method,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
C2_interpolation,cb_d2_full_alignment,route,0.380333647758125,0.3323820735150226,0.42897838158113527,0.4972030367485561,0.48054588947204846,0.5133921849568935,0.18516401995451032,0.4922817833119343
C2_interpolation,cb_d2_full_alignment,synthesis,0.6579591281977326,0.6183947848715149,0.6909384555148257,0.3078612322765083,0.2983795119813136,0.31707154050991015,0.9258200997725515,0.22296623499472587
C2_interpolation,cb_d4_no_geo,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d4_no_geo,context,0.35007572522649605,0.3056441961544038,0.4004081519397167,0.42224645518803333,0.4083852162806225,0.43764892415570406,0.9258200997725515,0.18680200773516373
C2_interpolation,cb_d4_no_geo,route,0.21710963537634967,0.16602377433714227,0.2767213592484234,0.4985088608402585,0.4807006180947965,0.518632831969189,0.9258200997725515,0.1338340581721003
C2_interpolation,cb_d4_no_geo,synthesis,0.6486768173015754,0.6094349438668802,0.6858120883608116,0.3126069317218944,0.3030413704714781,0.32206063241146415,0.9258200997725515,0.2398132475819383
C2_interpolation,cb_d4_full_alignment,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d4_full_alignment,context,0.6324026358602611,0.5952884609621525,0.6690557089508657,0.32101947279067244,0.3069409769515804,0.33541090856376,0.8332380897952965,0.2590841535504817
C2_interpolation,cb_d4_full_alignment,route,0.4479619128586981,0.39791579118935244,0.49667596263969915,0.39271856295122676,0.37426782005834947,0.40999754505107155,0.9258200997725515,0.2445138510261546
C2_interpolation,cb_d4_full_alignment,synthesis,0.6506056091761016,0.6121503211777365,0.6869603222736156,0.3126915827902501,0.3032817719444354,0.3222120573885541,0.9258200997725515,0.23911503929680542
extrapolation,cb_d2_no_geo,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_no_geo,context,,,,,,,,0.0
extrapolation,cb_d2_no_geo,route,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_no_geo,synthesis,,,,,,,,0.0
extrapolation,cb_d2_route_geo,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_route_geo,context,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_route_geo,route,,,,,,,,0.0
extrapolation,cb_d2_route_geo,synthesis,,,,,,,,0.0
extrapolation,cb_d2_context_geo,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_context_geo,context,,,,,,,,0.0
extrapolation,cb_d2_context_geo,route,,,,,,,,0.0
extrapolation,cb_d2_context_geo,synthesis,,,,,,,,0.0
extrapolation,cb_d2_route_context_geo,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_route_context_geo,context,,,,,,,,0.0
extrapolation,cb_d2_route_context_geo,route,,,,,,,,0.0
extrapolation,cb_d2_route_context_geo,synthesis,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_full_alignment,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d2_full_alignment,context,,,,,,,,0.0
extrapolation,cb_d2_full_alignment,route,,,,,,,,0.0
extrapolation,cb_d2_full_alignment,synthesis,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d4_no_geo,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d4_no_geo,context,,,,,,,,0.0
extrapolation,cb_d4_no_geo,route,,,,,,,,0.0
extrapolation,cb_d4_no_geo,synthesis,,,,,,,,0.0
extrapolation,cb_d4_full_alignment,sensory,,,,,,,,1.8947806286936006e-16
extrapolation,cb_d4_full_alignment,context,,,,,,,,0.0
extrapolation,cb_d4_full_alignment,route,,,,,,,,0.0
extrapolation,cb_d4_full_alignment,synthesis,,,,,,,,0.0
